crash_date,crash_time,borough,zip_code,longitude,latitude,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed
2019-01-01T00:00:00.000,17:07,BROOKLYN,11219,-74.0052200,40.6282200,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:34,QUEENS,11378,-73.9034000,40.7243300,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,11:25,BROOKLYN,11230,-73.9640300,40.6249000,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:17,MANHATTAN,10017,-73.9749450,40.7501000,3 AVENUE                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:16,,,-73.9000550,40.6768900,JAMAICA AVENUE                  ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,23:40,,,,,MAJOR DEEGAN EXPRESSWAY RAMP    ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:54,,,-74.1672000,40.6204380,STATEN ISLAND EXPRESSWAY        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:03,MANHATTAN,10018,-73.9958300,40.7540550,WEST 35 STREET                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:30,BROOKLYN,11236,-73.9153500,40.6341550,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,7:00,,,-73.9281600,40.7558330,33 STREET                       ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:00,,,-74.1712600,40.6392100,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,22:33,BROOKLYN,11205,-73.9695300,40.6915630,VANDERBILT AVENUE               ,4,0,0,0,0,0,4,0
2019-01-01T00:00:00.000,10:00,STATEN ISLAND,10306,-74.1208340,40.5685920,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:21,BROOKLYN,11215,-73.9900600,40.6611370,19 STREET                       ,0,0,0,0,0,0,0,0
