date,borough,avg_speed,avg_time
2019-01-01,Bronx,39.43854363028276,169.35132259045304
2019-01-01,Brooklyn,46.13796328671329,121.93247377622377
2019-01-01,Manhattan,27.681709252286176,227.00295857988166
2019-01-01,Queens,44.446289223596914,195.47149004841313
2019-01-01,Staten island,41.88576923076923,50.74475524475525
2019-01-01,Staten Island,44.12134965034965,69.2062937062937
2019-01-02,Bronx,37.29309933574879,179.45757850241546
2019-01-02,Brooklyn,43.64928602430555,132.224609375
2019-01-02,Manhattan,27.407581463675214,240.4039797008547
2019-01-02,Queens,41.846456552706556,220.84935897435898
2019-01-02,Staten island,41.024479166666666,51.947916666666664
2019-01-02,Staten Island,42.32292939814815,72.57002314814815
2019-01-03,Bronx,37.268359908883824,168.09825360668185
2019-01-03,Brooklyn,42.88043231441048,150.55742358078604
2019-01-03,Manhattan,27.314799677332616,247.6033880075289
2019-01-03,Queens,41.05843657552667,221.56333482743165
2019-01-03,Staten island,41.07696864111498,51.836236933797906
2019-01-03,Staten Island,42.12932457568007,74.21913508486398
2019-01-04,Bronx,37.55156174529061,124.65126388665271
2019-01-04,Brooklyn,42.810158972125436,151.2393292682927
2019-01-04,Manhattan,26.889724147687083,231.8765030414486
2019-01-04,Queens,39.92073445318084,226.28028949249463
2019-01-04,Staten island,40.691881533101046,52.42160278745644
2019-01-04,Staten Island,42.16229245283019,73.56981132075472
2019-01-05,Bronx,38.419458031400964,149.04287439613526
2019-01-05,Brooklyn,43.091091579861114,142.81618923611111
2019-01-05,Manhattan,27.54519722222222,259.6045833333333
2019-01-05,Queens,39.369250356125356,240.068198005698
2019-01-05,Staten island,40.924375,51.989583333333336
2019-01-05,Staten Island,42.45058912037037,71.4386574074074
2019-01-06,Bronx,41.96804951690821,157.94172705314008
2019-01-06,Brooklyn,46.16952690972222,124.56163194444444
2019-01-06,Manhattan,29.284480555555554,222.5663888888889
2019-01-06,Queens,42.133433938746435,226.03757122507122
2019-01-06,Staten island,42.55625,50
2019-01-06,Staten Island,44.250883101851855,70.8238425925926
2019-01-07,Bronx,37.2937288647343,173.27566425120773
2019-01-07,Brooklyn,41.957860243055556,143.63541666666666
2019-01-07,Manhattan,27.39637749595251,243.22193739881274
2019-01-07,Queens,39.934247685185184,234.48735754985756
2019-01-07,Staten island,40.38225694444444,52.78472222222222
2019-01-07,Staten Island,41.865515046296295,76.59351851851852
2019-01-08,Bronx,34.949076086956524,178.6888586956522
2019-01-08,Brooklyn,39.498135850694446,155.09830729166666
2019-01-08,Manhattan,26.283031517094017,257.7721688034188
2019-01-08,Queens,38.277610398860396,243.37749287749287
2019-01-08,Staten island,39.476145833333334,54.395833333333336
2019-01-08,Staten Island,40.78349652777778,80.0755787037037
2019-01-09,Bronx,35.90783179827873,173.60833459157482
2019-01-09,Brooklyn,38.49858940972222,154.25564236111111
2019-01-09,Manhattan,25.979479166666668,266.8762019230769
2019-01-09,Queens,38.53586627492877,241.11618589743588
2019-01-09,Staten island,39.73920138888889,52.78472222222222
2019-01-09,Staten Island,40.08111921296296,80.28113425925926
2019-01-10,Bronx,35.94363251737685,187.4687216681777
2019-01-10,Brooklyn,36.423223698540625,201.53169244173384
2019-01-10,Manhattan,23.724723188018185,276.8265579031827
2019-01-10,Queens,38.17032350057927,255.16273059442116
2019-01-10,Staten island,38.96861111111111,50.13194444444444
2019-01-10,Staten Island,40.857840277777775,80.4005787037037
2019-01-11,Bronx,35.78220292918617,189.0982938245508
2019-01-11,Brooklyn,34.57690067376657,166.58009128450337
2019-01-11,Manhattan,23.51884090909091,276.5143048128342
2019-01-11,Queens,36.00446393588602,258.83588601959036
2019-01-11,Staten island,31.474756944444444,41.267361111111114
2019-01-11,Staten Island,41.081631944444446,77.90613425925926
2019-01-12,Bronx,41.46656986467995,158.1753078911358
2019-01-12,Brooklyn,40.82288743169399,157.45049180327868
2019-01-12,Manhattan,27.94431454325306,248.19265437912014
2019-01-12,Queens,41.64390313901345,213.01632286995516
2019-01-12,Staten island,40.94370629370629,49.41258741258741
2019-01-12,Staten Island,43.862343822843826,69.14895104895105
2019-01-13,Bronx,42.21437679407766,147.0122374981115
2019-01-13,Brooklyn,28.059321444106132,141.6946498477599
2019-01-13,Manhattan,28.21219769930444,227.71803103263778
2019-01-13,Queens,42.230840313669574,222.2672429157013
2019-01-13,Staten island,42.503506944444446,49.63194444444444
2019-01-13,Staten Island,43.5441630006946,68.3005325306784
2019-01-14,Bronx,34.23820809248555,200.01749315485245
2019-01-14,Brooklyn,33.60642167617376,165.32009653356735
2019-01-14,Manhattan,24.577826555346082,283.2339078911931
2019-01-14,Queens,39.305923201148396,230.27094921945093
2019-01-14,Staten island,39.215524475524475,50.16083916083916
2019-01-14,Staten Island,40.64434965034965,73.58391608391608
2019-01-15,Bronx,30.495854963032876,223.7374547742646
2019-01-15,Brooklyn,36.425435540069685,160.1073606271777
2019-01-15,Manhattan,24.443087644063255,300.6585365853659
2019-01-15,Queens,37.364874910650464,266.15618298784847
2019-01-15,Staten island,36.398710801393726,69.42857142857143
2019-01-15,Staten Island,41.53888269454123,76.11742160278746
2019-01-16,Bronx,34.302948084054385,201.7991347342398
2019-01-16,Brooklyn,39.526371527777776,170.16493055555554
2019-01-16,Manhattan,24.019169337606836,279.40811965811963
2019-01-16,Queens,37.23370014245014,277.0403311965812
2019-01-16,Staten island,41.12802083333333,51.41319444444444
2019-01-16,Staten Island,41.54942476851852,76.77789351851852
2019-01-17,Bronx,35.95753235977431,187.06571523398605
2019-01-17,Brooklyn,39.998165553435115,176.268606870229
